"velo","horz_break","vert_break","spin_rate"
96.1,-0.671,1.2715,2330
86.5,0.841,-0.1423,2828
86.7,-1.0554,0.7905,1794
98.3,-0.4677,1.4171,2384
87.6,1.0849,-0.4149,3151
87.1,1.0492,-0.0801,2991
84.8,0.8948,-0.2204,2867
87.3,1.1555,-0.3084,3189
95.6,-0.475,1.276,2307
97.2,-0.3553,1.2996,2436
97,-0.5149,1.3394,2362
98.3,-0.6881,1.2564,2405
97.5,-0.7719,1.3077,2370
87.7,0.6312,-0.4069,2822
89.3,0.6967,-0.1113,NA
96.7,-0.51,1.417,2476
89.8,-1.2332,0.8132,1708
87.1,1.1943,-0.0124,3147
98.3,-0.6588,1.3468,2397
88.6,-0.8944,1.1839,1637
89.2,0.5973,-0.1291,2867
98.5,-0.3813,1.4454,2348
86.8,1.2854,-0.7005,3060
97,-0.1843,1.495,2421
87.9,0.8199,-0.1717,3006
97.5,-0.7036,1.3998,2485
84.9,1.2983,-0.652,2853
89.2,0.752,-0.2301,3023
88.8,0.8465,-0.3502,3088
97.9,-0.4778,0.9776,2305
98.5,-0.7303,1.3485,2381
98.1,-0.6651,1.3572,2485
97.5,-0.5959,1.3923,2433
97.2,-0.6658,1.1911,2461
86.8,-0.9708,0.763,1589
89.3,0.7687,-0.1758,2962
89.6,0.6589,-0.0634,1493
88.3,0.9539,-0.3793,3090
87.3,-0.9914,0.9607,1688
98.1,-0.4767,1.4748,2442
87.6,0.8498,-0.331,2958
97.2,-0.4818,1.1422,2300
87.4,1.0004,-0.2426,3077
88.3,0.7709,-0.31,2941
88,0.6613,0.024,NA
86.4,0.7658,-0.2701,2881
87.1,0.9601,-0.3121,3026
94.4,-0.3491,1.442,2403
87.6,0.9152,-0.3065,2971
96.6,-0.7212,1.0107,2477
95.1,-0.5539,1.5719,2432
95.9,-0.6635,1.443,2433
97,-0.5896,1.0223,2474
95.1,-0.4066,1.3928,2437
87.5,0.7996,-0.1744,2926
95.7,-0.5884,1.4082,2447
96.5,-0.5924,1.3978,2472
94.9,-0.3971,1.4239,2342
95.5,-0.5876,1.4557,2458
96.1,-0.398,1.4545,2457
89.8,0.7549,-0.0875,1376
96.5,-0.405,1.3401,2446
90.7,-0.7798,1.1177,1671
87.9,0.6472,0.3965,2865
86.2,0.6677,-0.429,2818
96.3,-0.2592,1.4874,2501
95.3,-0.2823,1.5176,2447
87,0.5765,-0.2733,2945
96.1,-0.4798,1.472,2408
95.3,-0.3885,1.4016,2423
86.7,0.3733,-0.0905,NA
95.2,-0.8031,1.3274,2419
97.1,-0.632,1.205,2285
98.2,-0.4491,1.3659,2302
97.9,-0.8454,1.272,2337
97.7,-0.7686,1.2785,2229
98.6,-0.4715,1.2362,2283
99,-0.3854,1.5617,2286
88.6,0.6401,-0.2053,2910
98.3,-0.5968,1.2975,2354
90,0.647,-0.2585,2720
90.6,-0.9896,1.0297,1502
97.4,-0.5587,1.2953,2409
98.3,-0.3587,1.3817,2372
86.1,-1.1362,0.8023,1964
86.8,0.5403,-0.0129,2678
97.4,-0.3246,1.391,2399
98.5,-0.5198,1.2172,2471
98.3,-0.5061,1.3982,2386
98.8,-0.7345,1.2407,2369
98.4,-0.5771,1.2899,2426
89.5,0.7811,0.0235,3024
97.4,-0.3088,1.2705,2343
84.9,-0.8211,0.8697,1579
97.9,-0.4674,1.2289,2319
89.2,-0.8031,0.9407,1709
99.2,-0.6085,1.1413,2351
98.9,-0.446,1.2558,2399
99,-0.7021,1.3621,2366
97.3,-0.5563,1.2929,2284
97.5,-0.5177,1.3316,2306
89.7,-0.8456,0.958,1645
97.3,-0.6992,1.3061,2389
98.6,-0.5922,1.231,2347
99.3,-0.717,1.4307,2419
87.6,0.8162,-0.2989,2866
98.7,-0.8393,1.3522,2405
97.7,-0.2966,1.2718,2307
98.2,-0.5033,1.1391,2195
97.7,-0.377,1.2177,2288
89.2,0.5202,-0.0637,2603
88.9,-0.681,1.1676,1439
89.6,0.471,0.1391,2761
97.9,-0.5702,1.5135,2376
98.1,-0.6224,1.3794,2231
88.6,0.8311,-0.2151,2831
98.6,-0.6852,1.2767,2385
90.4,-1.0442,1.0044,1757
88.8,0.6855,-0.2604,2841
89.6,0.8427,0.2025,2822
88,-0.9713,0.7231,1551
98.8,-0.3248,1.2255,2364
97.5,-0.7975,1.284,2422
88.8,0.7168,-0.0626,2865
98.6,-0.6628,1.4158,2309
87.6,-0.9077,1.07,1620
90.7,0.7162,0.061,2761
96.8,-0.7321,1.4463,2309
87.3,0.6619,-0.0697,2816
88.2,-0.6047,0.8771,1545
90.1,0.8903,-0.0377,2900
99,-0.3085,1.2517,2355
88.4,0.8766,0.1373,2803
88.3,0.7247,0.0225,2832
88.7,0.8974,-0.2562,2976
90.9,0.3944,0.0991,2846
98.7,-0.6173,1.2605,2282
91.1,0.8092,0.0768,2807
88.8,-0.8934,0.8073,1584
89.7,0.5582,0.0995,2807
98,-0.9038,1.0998,2300
96.5,-0.6202,1.5219,2252
89.6,-0.8412,0.7883,1674
90,0.7261,-0.0344,2938
89.4,-0.9135,1.0277,1778
97.5,-0.4522,1.5784,2427
98.2,-0.3485,1.467,2415
90.5,-0.7693,0.8741,1632
88.7,-0.5967,1.3349,1733
89.5,0.7116,0.268,2656
96.5,-0.5329,1.3722,2386
89.6,0.6721,-0.13,2825
96.2,-0.8206,1.3285,2367
95.2,-0.7914,1.3661,2365
97.6,-0.6153,1.3802,2356
96.1,-0.4825,1.3521,2298
95.2,-0.5801,1.4844,2335
96,-0.7656,1.3358,2410
95.8,-0.7529,1.3621,2327
88.3,0.8606,-0.1548,2730
96.8,-0.4094,1.5129,2395
96.6,-0.4041,1.4976,2390
96.5,-0.6665,1.355,2288
96.8,-0.362,1.2441,2326
89.9,0.7364,-0.022,3043
88.5,0.6725,-0.202,2865
88.3,0.6818,-0.3102,2907
97,-0.4748,1.4266,2355
92.5,0.3464,0.5008,2525
97.2,-0.549,1.2414,2411
89.2,-0.9619,0.8542,1629
87.2,-0.7987,0.9012,1615
97,-0.5828,1.2601,2369
87.6,0.9157,-0.0547,1365
87.3,0.4179,0.0847,2738
97.6,-0.5598,1.1147,2193
97.9,-0.4257,1.1472,2191
88.2,0.886,0.4307,2806
96.5,-0.3546,1.2118,2329
89.1,0.7789,-0.0939,2955
96.3,-0.4611,1.3955,2297
89.7,-0.8304,0.5896,1516
90.3,0.464,0.3471,2652
89.5,0.6174,0.154,2798
96.2,-0.3894,1.3177,2458
87.8,0.5257,0.124,2703
95.6,-0.7238,1.3071,2316
97.3,-0.237,1.3555,2380
86.8,0.965,-0.0833,2983
97,-0.6437,1.284,2436
85.8,-1.004,1.0918,1805
97.2,-0.398,1.5068,2472
88.9,0.9143,-0.3222,3000
99.3,-0.428,1.0059,2414
88.9,0.6921,-0.1892,2921
88.6,0.739,-0.0471,2770
98.7,-0.3183,1.2936,2284
88.2,0.8237,-0.4014,2861
90.2,0.2701,0.2922,2690
96.7,-0.403,1.318,2415
89.6,0.4584,-0.0662,2806
98.8,-0.7703,1.4838,2440
90.1,0.5205,0.3135,2808
91.9,0.4595,0.5563,2494
98.2,-0.6023,1.3421,2354
95.2,-0.6532,1.1082,2302
96.9,-0.4089,1.3145,2337
88.5,0.6746,-0.3376,3005
98.2,-0.5968,1.3388,2367
89.6,0.6519,0.1121,2932
86.9,0.7036,-0.281,3000
87.8,0.6573,0.0799,2811
87.1,0.9603,-0.1079,3122
98.6,-0.6798,1.1966,2319
97.5,-0.5382,1.3194,2439
96.8,-0.481,1.3785,2445
97.5,-0.5626,1.3686,2402
97.2,-0.7058,1.361,2335
97.4,-0.5625,1.2864,2405
97.9,-0.5202,1.3277,2378
87.5,-1.0876,0.8022,1679
97.3,-0.456,1.5192,2445
96.3,-0.3467,1.4506,2330
96.3,-0.3926,1.3567,2304
97.9,-0.4346,1.4181,2437
86.3,0.9349,-0.2758,2984
98.3,-0.8905,1.1375,2476
85.4,1.0488,0.0947,2767
86.8,1.2347,-0.037,3079
98.7,-0.3683,1.0417,2434
89,1.0052,0.0217,NA
98.6,-0.288,1.2641,2423
88.4,1.105,-0.1629,3058
88.4,0.9396,-0.4271,3136
99.3,-0.5742,1.1524,2433
86.8,1.0339,-0.554,3108
98.3,-0.5974,1.4325,2400
98.5,-0.627,1.4124,2445
88.5,0.8295,-0.2646,3011
97.2,-0.6646,1.3693,2327
98.1,-0.2294,1.4685,2440
89.7,0.5636,0.1326,2848
88.9,-0.3952,1.1894,1623
89.1,0.6385,-0.1424,NA
96,-0.4435,1.4479,2367
89.7,0.6677,-0.2235,1388
97.4,-0.587,1.2519,2321
96.9,-0.4312,1.4886,2374
96.5,-0.4701,1.3488,2274
96.3,-0.2093,1.2577,2278
98.2,-0.5942,1.3157,2424
86.8,1.1648,-0.3739,3043
97.8,-0.6387,1.2685,2469
87,0.8315,-0.1763,2950
97.5,-0.6366,1.4077,2466
88.5,0.8686,-0.2066,2996
84.5,-1.0474,0.7454,1717
96.1,-0.6774,1.3304,2373
87.8,-0.63,1.0467,1678
98.3,-0.676,1.3676,2503
99,-0.5513,1.2509,2403
97.7,-0.4993,1.3482,2420
95.7,-0.5442,1.323,2332
96.4,-0.8026,1.2869,2386
97.2,-0.7493,1.3912,2398
87.3,1.1257,-0.0407,2961
87.4,0.7955,-0.2677,2930
88.1,0.9874,-0.3129,3056
90,-1.0753,0.9617,1747
97.5,-0.2818,1.2224,2431
97.8,-0.4593,1.2208,2438
89.9,0.5783,0.2299,2794
87.5,0.6372,-0.2943,NA
87.3,0.8186,-0.289,3020
88.9,1.0712,-0.4379,NA
89.3,0.7722,-0.1257,2922
97.6,-0.524,1.3109,2370
89,0.9931,-0.0842,2739
86.7,0.7796,-0.3329,2763
88.2,0.763,0.094,2848
96,-0.3646,1.4041,2371
97.1,-0.7283,1.2681,2347
87.1,0.7517,-0.1969,2655
88.4,0.5963,0.1645,2471
89,0.6014,0.1851,2634
87.7,0.6317,-0.0251,2697
82.1,-1.1861,0.7109,1643
82.3,-1.3461,0.6433,1712
93.9,-0.5956,1.6,2456
95.7,-0.6458,1.3384,2287
96.9,-0.2427,1.2989,2387
95.2,-0.0818,1.5377,2345
75.5,-0.9505,1.0755,1433
80.7,-1.0356,1.1933,1577
89.3,0.5613,0.1063,NA
88.6,0.6367,-0.2268,2702
87.5,-1.2565,0.909,1716
87.9,0.6656,-0.0772,2618
89.5,0.6204,0.1049,NA
88.6,0.4303,0.1338,2639
95.9,-0.3838,1.5444,2357
98.7,-0.5509,1.4316,2433
87.4,-1.2923,0.7823,1776
89.3,0.701,0.0681,911
90.1,0.683,0.0126,1377
88.1,0.8027,-0.1569,NA
90.5,0.5097,-0.0444,2672
90.8,0.737,-0.0054,NA
98.7,-0.5697,1.3529,2381
84.1,-0.8428,1.1864,1478
89.2,-1.0887,0.776,1626
98,-0.2898,1.3778,2412
96.6,-0.0205,1.6048,2335
97.9,-0.1361,1.3147,2317
97.7,-0.2978,1.5846,2405
88.9,0.8423,-0.3008,2882
97.9,-0.5135,1.7757,2477
87.3,1.1461,-0.3841,2941
87.5,0.7656,0.0049,2976
98.6,-0.5616,1.3291,2321
98.3,-0.4319,1.4215,2308
98.1,-0.372,1.6279,2463
98.4,-0.7142,1.4214,2482
87.7,0.7161,-0.2391,2853
97.4,-0.5311,1.6258,2297
88.5,0.854,-0.0849,NA
97.9,-0.4312,1.7209,2568
87.6,0.7711,-0.4938,2960
81,-0.7971,1.4288,1575
98.4,-0.3652,1.4371,2538
85.6,1.3318,-0.2373,2899
98.3,-0.6826,1.4321,2489
88.6,0.9502,-0.5069,2977
97,-0.3571,1.6886,2477
84.4,-1.1747,0.9106,1508
88.3,0.9825,-0.3015,3002
87.6,0.9487,-0.3049,3022
97.9,-0.4906,1.4085,2378
89.1,0.8233,-0.0768,2718
88.8,0.6947,-0.2088,NA
96,-0.3085,1.3023,2204
88.7,0.8783,-0.1007,2812
79.3,-0.9689,0.6704,1439
96.1,-0.5577,1.4298,2366
81.5,-0.7422,1.208,1576
97.7,-0.4257,1.4426,2309
87.3,0.7816,-0.3168,2967
97.2,-0.4786,1.1737,2389
97.7,-0.4438,1.4345,2318
88.3,0.9439,-0.2039,2780
89,1.0502,-0.0242,NA
95.2,-0.673,1.5587,2330
97.7,-0.6492,1.4425,2337
89.8,0.8173,-0.185,2956
97.8,-0.4041,1.6319,2515
88,1.0956,-0.1879,3098
88.9,0.8087,0.0318,NA
89.2,0.7675,-0.0698,2942
97.5,-0.6152,1.4098,2352
98.2,-0.5367,1.5178,2412
88.1,0.866,-0.1585,2919
98.2,-0.5426,1.6068,2364
89.2,0.709,-0.1738,2797
97.4,-0.706,1.4868,2320
97.5,-0.5409,1.3939,2490
96.6,-0.5318,1.6286,2499
97.8,-0.5759,1.2941,2403
97.3,-0.5572,1.3788,2350
97.4,-0.4668,1.5125,2437
88.4,1.0721,0.0024,2916
97.5,-0.4846,1.3931,2419
98.6,-0.5297,1.4446,2408
98.4,-0.6129,1.3226,2407
97.4,-0.5152,1.4932,2360
89.7,0.4228,-0.007,NA
98.4,-0.4839,1.2842,2397
97.8,-0.3801,1.4987,2418
96.8,-0.5841,1.4348,2334
99.7,-0.3014,1.2395,2508
87.5,1.3174,-0.8014,3025
86.6,1.042,-0.2688,2910
99.1,-0.5926,1.0881,2348
87.9,0.7848,-0.3274,2885
86.3,0.9378,-0.2184,2876
96.5,-0.556,1.1975,2266
96,-0.4862,1.2488,2341
96.3,-0.4735,1.2895,2329
95.3,-0.0817,1.2828,2345
84.8,0.9995,-0.2659,2961
97.7,-0.5007,1.2746,2376
98.1,-0.4114,1.0376,2344
97.3,-0.4395,1.2177,2348
99,-0.4713,1.3801,2356
87.7,0.9702,-0.185,2959
98.1,-0.361,1.4806,2453
89.7,-0.5527,0.89,1631
96.6,-0.3776,1.4303,2383
87.6,0.9549,-0.1437,2872
89.2,-0.7177,0.9067,1557
97.1,-0.1979,1.2495,2363
95.7,-0.5247,1.3367,2508
96.7,-0.2405,1.2186,2410
86.9,0.6259,-0.3707,2737
95.7,-0.4608,1.332,2319
94.1,-0.5696,1.369,2263
86.1,1.2035,-0.1611,2977
98.1,-0.2118,1.4841,2442
89.7,0.7578,-0.0272,NA
98.4,-0.5088,1.189,2497
97.5,-0.4193,1.3036,2411
89.9,-0.5843,0.9028,1623
86.7,1.2671,-0.4795,2905
97.9,-0.4558,1.2789,2375
89.2,0.834,-0.5247,2946
90,-0.7452,0.8452,1661
96.5,-0.3106,1.1284,2370
97.8,-0.171,1.1701,2374
89,0.7451,-0.2351,NA
97.7,-0.4431,1.3674,2451
97.6,-0.4934,1.2549,2420
87.3,0.9404,-0.3926,2952
97.4,-0.3543,1.1229,2403
86.7,1.0437,0.2758,2848
96.6,-0.2926,1.3534,2419
88.2,-0.9515,0.9531,1666
96.9,-0.6662,1.2582,2511
97,-0.5387,1.3404,2530
94.6,-0.4582,1.379,2476
96.7,-0.1017,1.0771,2386
85.2,1.1317,-0.4742,2895
87.4,0.8283,-0.4025,2909
90.1,-0.8411,0.7665,1663
88.1,0.6872,-0.2599,2762
89.4,0.8045,0.0156,2848
88.6,-0.7498,0.7952,1583
88.1,-0.6058,0.9711,1620
95.8,-0.2653,1.1239,2483
86.9,1.0923,0.2842,2851
88.8,-0.8833,0.8388,1556
86.7,0.956,-0.0753,2957
88.5,0.6376,-0.162,NA
95.9,-0.4133,1.3267,2395
94.9,-0.7009,1.4221,2422
96.9,-0.2849,0.9037,2396
96.2,-0.0621,1.1289,2354
89.5,0.9178,-0.0902,2868
88.4,0.7313,-0.2626,NA
87.6,0.8406,-0.0428,2749
88.9,0.6686,-0.1247,2925
95.8,-0.4081,1.3034,2418
96.4,-0.4261,1.168,2446
97.8,-0.3467,1.4573,2427
86.8,0.9138,-0.3071,2989
97.6,-0.5533,1.3337,2416
86.9,0.7791,-0.2324,2897
96.4,-0.3886,1.0113,2449
96,-0.3743,1.3678,2312
88.7,-0.9178,0.9379,1642
95.4,-0.5933,1.3666,2329
94.8,-0.5053,1.4373,2455
88.3,0.8666,-0.0756,2722
97.1,-0.3576,1.42,2468
97.2,-0.164,1.2055,2460
88.6,-0.7649,0.7446,1423
88.7,-0.986,0.6949,1592
87.5,0.6619,-0.2493,2856
96.5,-0.0697,1.2068,2392
86.2,1.1459,-0.3221,2983
95.8,-0.5421,1.2135,2374
85.4,0.8612,-0.2639,2876
96.9,-0.1623,1.4038,2496
96.1,-0.4854,1.2359,2438
98.6,-0.6329,1.3422,2388
97.4,-0.3927,1.1428,2335
96.9,-0.4943,1.4059,2268
89.2,-0.6997,1.1593,1572
98,-1.0765,1.1702,2198
98.3,-0.4783,1.2177,2339
85.9,0.7917,-0.0787,NA
99.5,-0.3406,1.1681,2358
88.3,1.0568,-0.1031,2921
99.1,-0.4781,1.4361,2449
88.9,0.7432,-0.0874,2934
98.8,-0.7381,1.493,2420
98.6,-0.5,1.3636,2426
89.8,1.0117,-0.2053,2913
99.2,-0.4538,1.3187,2411
98.6,-0.6835,1.3182,2400
89.8,0.4594,0.0785,2736
98,-0.6126,1.3861,2481
96.9,-0.5444,1.2988,2587
89.6,0.7044,-0.2859,NA
91.9,0.5606,-0.0283,2782
99.6,-0.4543,1.4676,2541
88.1,0.7981,-0.3013,NA
97.4,-0.62,1.4022,2463
99.2,-0.3213,1.3975,2338
86.6,1.2082,-0.4177,2925
87.5,1.1269,-0.3061,3053
88.6,0.7705,-0.1557,2956
87.7,0.8658,-0.4431,3069
88.9,1.0447,-0.0852,3036
98.7,-0.4405,1.2281,2393
89.8,0.8595,-0.2371,3004
87.5,1.0581,-0.2891,2902
88.6,1.0257,-0.4261,3084
88,0.9784,-0.2675,2995
89.1,0.7123,-0.0343,2842
89.1,0.6492,0.0921,2860
87.2,-0.6708,1.0294,1597
98.3,-0.6325,1.2697,2376
97.7,-0.7443,1.2837,2204
98.7,-0.5176,1.259,2248
98.4,-0.5175,1.2242,2309
87.4,-1.0516,0.4799,1648
88.5,0.7875,-0.2093,2825
84.8,-0.7644,0.5093,2858
88.8,0.8711,-0.2326,NA
88.4,0.81,-0.2418,3104
86.4,0.723,-0.2878,2938
88,-0.8753,0.8345,1682
98.8,-0.6078,1.3586,2445
98.5,-0.5037,1.3091,2332
89.4,-0.857,0.573,1674
98.3,-0.2832,1.3614,2406
87.7,1.2875,-0.1785,3064
97.9,-0.4992,1.2528,2445
87.2,0.8696,-0.1252,2873
86.5,0.8857,-0.275,2939
88.4,-0.892,1.0252,1533
85.4,-0.923,0.8433,1483
97.4,-0.5834,1.3146,2390
98.9,-0.6011,1.3279,2542
98,-0.291,1.1598,2461
98,-0.7065,1.3099,2447
98.3,-0.6057,1.2606,2507
86.1,1.2046,-0.189,3046
89,-0.9885,0.8187,1668
89.3,0.6515,-0.2815,2997
88.6,0.5709,-0.1897,2873
97.9,-0.6259,1.4542,2584
86,1.0117,-0.2314,3145
86.2,1.0697,-0.3888,2924
98,-0.4859,1.4053,2492
88,0.8178,-0.1873,2910
86.7,0.8368,0.186,NA
97.3,-0.6075,1.5375,2524
96,-0.493,1.2265,2279
85.1,1.0984,-0.2899,3018
94.6,-0.682,1.2409,2327
87.8,1.135,-0.0691,2982
97.2,-0.5126,1.413,2354
98,-0.6914,1.2284,2341
97.6,-0.4826,1.4356,2380
88.1,0.7634,-0.3241,2778
98.2,-0.3672,1.1067,2462
87.7,0.9477,-0.4983,2982
97.4,-0.639,1.3699,2495
86.1,1.1766,-0.2654,3111
85.6,-0.8381,0.8677,1596
98.2,-0.5128,1.2219,2302
88,1.0173,-0.5161,2891
98.5,-0.6993,1.1797,2407
87.2,0.7935,-0.2404,2990
87.6,0.9142,-0.3621,2954
97.9,-0.8844,1.134,2443
89,-1.1912,0.6003,1668
97.7,-0.7059,1.2642,2380
96.3,-0.5657,1.3768,2441
99.5,-0.6857,1.439,2411
87.9,0.6784,-0.3559,2834
98.4,-0.6264,1.4273,2354
98,-0.4206,1.4855,2313
97.5,-0.887,1.287,2404
86.5,-0.9993,0.7559,1706
95.4,-0.7019,1.3689,2309
86.9,0.9675,-0.1723,3047
97.9,-0.5985,1.3225,2428
87.4,-1.2682,0.8197,1620
87.2,0.7144,-0.2216,2879
97,-0.609,1.5011,2392
90.4,-0.9699,1.3344,1903
99.2,-0.7652,1.4737,2466
95.2,-0.6224,1.4805,2406
98,-0.6072,1.4245,2450
85.6,-0.8552,1.262,3199
86.5,0.8312,-0.4319,2831
87.6,-0.713,1.2321,1706
88.1,0.8042,-0.2722,NA
98.2,-0.4179,1.3366,2436
96.6,-0.7696,1.0097,2306
97,-0.7961,1.5152,2471
87.6,1.5355,-0.0489,3111
98.9,-0.8273,1.6161,2555
88.8,-1.4678,0.8223,1603
98.4,-0.8713,1.5519,2470
87.8,-1.4496,0.7874,1623
97.8,-0.8185,1.4143,2465
98.2,-0.4878,1.2658,2338
96.3,-0.5603,1.2133,2311
87.3,-0.9556,0.689,1371
89,-1.231,0.5504,1586
98.8,-0.6534,1.3222,2434
97.4,-0.5426,1.2489,2322
84.7,1.097,-0.5488,2932
95.8,-0.8403,1.2055,2262
88.5,-1.1132,1.2339,1859
87.8,0.8614,-0.1612,2968
98.6,-0.6366,1.2858,2321
87.6,-0.6853,1.0882,1659
87.3,0.9949,-0.0576,2861
98.5,-0.8196,1.3748,2613
87.9,1.0975,0.0268,3080
98.2,-0.8869,1.5199,2512
89.7,-1.1239,1.1943,1807
88,-0.9682,1.2601,1863
96.6,-0.7473,1.5645,2456
89.5,-1.1659,0.5818,1697
87.8,-1.1637,0.8944,1710
88.5,1.0203,-0.2636,3032
88.7,-0.8948,0.846,1766
88.3,-0.9341,0.9557,1694
88.5,0.7203,-0.1851,NA
96.3,-0.7364,1.4303,2310
99,-0.559,1.6394,2517
97.6,-0.3816,1.34,2424
98.3,-0.5187,1.3778,2314
90.3,-1.2153,0.6616,1677
87.1,-0.8225,1.1091,1490
86,0.951,-0.3118,2969
88.8,-0.882,0.8046,1587
98.4,-0.1081,1.3265,2369
87.3,-0.7338,0.9844,1599
87.4,0.8082,-0.411,2926
98.9,-0.494,1.3321,2455
89.2,-1.0038,0.8444,1775
97.8,-0.6971,1.2319,2299
98.3,-0.7025,1.1496,2295
97.8,-0.3232,1.2872,2362
88.6,0.822,-0.4213,3015
99.3,-0.7362,1.3405,2431
98.3,-0.7088,1.3955,2398
99,-0.7214,1.2663,2379
98.5,-0.5901,1.4684,2290
97.6,-0.8188,1.5449,2506
87.9,1.0497,-0.0817,3156
98.3,-0.4461,1.2906,2386
98,-0.743,1.4496,2457
97,-0.5008,1.2951,2475
86.4,0.8743,-0.1892,2969
98.8,-0.5993,1.3295,2430
96.6,-0.6716,1.3767,2271
97.9,-0.5625,1.366,2455
97.9,-0.6668,1.4355,2442
97.7,-0.7423,1.2087,2283
89.1,-1.3048,0.7512,1721
96,-0.5162,1.0346,2420
97.2,-0.4071,0.965,2440
88.1,-1.1113,0.8103,1655
97.2,-0.3648,1.2016,2402
85.7,1.0293,-0.3168,2959
98.9,-0.531,1.3112,2323
98.8,-0.4005,1.4176,2383
98.1,-0.7625,1.4315,2451
97.6,-0.4753,1.3611,2507
86.8,1.0763,-0.4018,3033
96.8,-0.6867,1.5194,2340
98.3,-0.7017,1.2471,2541
88.5,0.9765,-0.0254,2920
87.7,0.9362,-0.1894,2903
99.6,-0.4107,1.2386,2346
98.4,-0.3556,1.5341,2403
99.9,-0.5497,1.2934,2361
100.1,-0.4397,1.367,2418
99.1,-0.6725,1.3033,2503
99.7,-0.6626,1.4788,2458
99.5,-0.4554,1.3822,2482
99.1,-0.4161,1.3637,2474
99.3,-0.4493,1.2716,2437
90.7,0.7241,0.579,2829
99.2,-0.8736,1.3873,2337
99.4,-0.7341,1.3932,2416
98.9,-0.6814,1.448,2480
97.9,-0.7505,1.475,2386
97.9,-0.6758,1.2694,2376
96,-0.4136,1.3023,2344
98.5,-0.3291,1.324,2341
98.2,-0.25,0.9981,2338
96.9,-0.4553,1.3658,2300
86.8,-0.7843,1.0804,1479
86.6,1.054,-0.1297,2826
98.1,-0.5101,1.321,2235
98.1,-0.4675,1.4653,2424
99.5,-0.5029,1.4746,2587
91,-1.1625,0.8473,1658
99.3,-0.6188,1.5077,2467
88.5,0.6562,-0.089,2896
99.2,-0.4457,1.3848,2391
98.5,-0.3899,1.3014,2375
97.5,-0.5434,1.3242,2401
96.9,-0.2041,1.3014,2489
97.7,-0.3752,1.3025,2403
87.9,1.1625,-0.317,3023
89.2,0.9868,-0.3316,3062
100.2,-0.3478,1.1996,2424
89.4,0.8686,-0.2393,3105
90.3,0.8455,-0.3185,2968
89.8,1.0459,-0.0088,3051
91.5,0.7006,-0.0572,2815
99.5,-0.4302,1.3693,2387
99.4,-0.5953,1.4839,2493
98.9,-0.5729,1.475,2465
99.3,-0.7188,1.4983,2526
90.8,0.9417,-0.23,2974
100.1,-0.4495,1.4782,2391
99.7,-0.5414,1.5129,2480
97.6,-0.434,1.4622,2260
98,-0.6433,1.3504,2409
91,-1.1879,0.9008,1594
99.1,-0.584,1.481,2540
98,-0.6142,1.4352,2484
90.2,-1.0833,0.7597,1586
97.3,-0.5376,1.2514,2368
98.9,-0.4211,1.5321,2522
97.9,-0.5582,1.5805,2514
100.6,-0.749,1.5396,2513
98.4,-0.6227,1.3086,2433
86.9,1.1987,-0.0262,3031
99.7,-0.4879,1.39,2544
91.4,0.7357,0.0024,3008
99.3,-0.7108,1.3743,2484
98.1,-0.5542,1.2075,2447
89.5,1.0454,0.291,2834
89.6,0.7512,-0.2396,2889
99.2,-0.4742,1.226,2349
99.2,-0.4995,1.2903,2314
98.7,-0.3519,0.9353,2448
99.2,-0.3625,1.348,2437
99,-0.4911,1.2449,2338
89.8,0.8242,-0.2886,3018
89.9,0.7401,-0.3311,2999
88.7,0.9451,-0.1936,2931
98.2,-0.3603,1.4349,2382
99.2,-0.5381,1.3604,2352
87.7,0.6865,-0.2067,2828
87.3,1.0968,-0.385,2971
88.8,0.7995,-0.2522,2984
98.8,-0.5867,1.5213,2559
99.1,-0.4917,1.3106,2414
98,-0.6109,1.3923,2437
96.4,-0.3893,1.3645,2435
88.8,0.9742,-0.2173,2954
98.9,-0.4002,1.4354,2546
89.7,-1.1146,0.7121,1628
88.3,0.8615,-0.0184,3021
97.5,-0.3767,1.4713,2378
98.6,-0.6129,1.3533,2509
88.3,1.0895,-0.6167,3063
98.5,-0.604,1.1794,2402
97.6,-0.2399,1.4693,2389
87.4,0.9355,-0.4239,3075
97.6,-0.358,1.3288,2366
88.4,0.8816,-0.1722,2883
88.9,0.7738,0.1939,2804
89,0.6426,-0.1831,2849
97.5,-0.3073,1.4187,2346
96.9,-0.3463,1.4204,2337
97.3,-0.2914,1.3945,2356
89.7,0.6266,-0.1235,2909
97.6,-0.5672,1.2729,2422
96.9,-0.4423,1.4299,2491
89,0.844,-0.1803,2970
99.5,-0.8089,1.4436,2381
98.5,-0.7771,1.3319,2381
97.4,-0.5431,1.3405,2381
88.9,0.9722,0.0196,2876
96.8,-0.6762,1.5648,2440
88.1,1.0459,0.326,NA
88.3,0.8333,-0.0852,3058
98.7,-0.7549,1.2473,2401
98.5,-0.7605,1.3164,2329
98.5,-0.9406,1.3809,2499
89.9,-0.9831,0.851,1528
86,1.1959,-0.3609,3048
87.6,1.2221,0.1708,3212
99.1,-0.6772,1.3768,2522
87.5,-0.9966,0.8173,1656
87.2,1.262,0.112,3086
98.3,-0.8697,1.4574,2396
86.7,0.5243,0.3319,NA
86.7,0.5685,-0.1068,2850
96.3,-1.0049,1.2135,2336
98.2,-0.6869,1.3157,2292
88.5,0.8049,-0.3186,2991
89.2,0.6388,-0.1015,2977
97.6,-0.5783,1.463,2464
90.4,0.4583,0.0189,NA
