pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
453286,R,FF,4-Seam Fastball,96.4,2571,-1.0462,0.9773,-3.5453,4.9461,6.2,0.0579,3.0318,11.8885,-139.9987,-1.7347,-16.2256,28.9658,-19.1597
453286,R,CH,Changeup,84.6,1374,-1.1818,0.0433,-3.3639,5.0874,6.709,-0.7093,1.8248,8.6369,-122.993,-1.3575,-13.8298,23.6616,-31.6574
453286,R,CU,Curveball,78.8,2658,1.028,-0.5986,-3.3415,5.3827,5.799,0.6296,0.5193,6.678,-114.4179,-2.5732,7.5356,22.0996,-37.0703
453286,R,CU,Curveball,78.6,2637,0.9723,-0.5464,-3.5174,5.3616,5.768,0.1312,2.2638,6.0706,-114.1466,1.137,7.1656,21.5474,-37.3103
607536,L,FF,4-Seam Fastball,92.4,2312,0.7346,1.2983,1.4107,5.8192,6.386,-0.8948,2.0307,-7.4762,-134.2609,-6.6431,10.523,29.436,-15.231
607536,L,FT,2-Seam Fastball,92.3,2325,1.2419,0.6032,1.8139,5.6237,6.395,1.7674,1.7164,-2.8319,-134.3663,-5.4272,15.6523,30.4135,-23.8764
453286,R,CU,Curveball,78.7,2618,1.033,-0.5573,-3.2979,5.4265,5.95,1.1087,2.3693,7.6119,-114.3657,1.2418,7.4547,21.8923,-37.4637
607536,L,SL,Slider,86.4,1967,0.035,0.4142,2.0129,5.6359,6.204,1.3948,1.5939,-1.5413,-125.7905,-4.277,0.6691,24.3113,-27.1704
453286,R,FF,4-Seam Fastball,94.3,2514,-1.3121,1.3515,-3.4924,5.1317,6.304,0.9864,2.6618,14.4791,-136.5054,-3.6271,-19.6139,30.9091,-14.7501
607536,L,SL,Slider,86.2,2072,-0.1133,0.4857,2.1365,5.635,6.297,-0.1075,1.7054,-5.1025,-125.427,-4.1121,-0.2066,24.3509,-26.4529
